Filtered by stability with threshold: 0.1
[, должен ]   count:31  textsCount:31  stability:0.0967741935483871
[вышел из ]   count:31  textsCount:27  stability:0.0967741935483871
[составляю около ]   count:31  textsCount:28  stability:0.0967741935483871
[, было ]   count:31  textsCount:30  stability:0.0967741935483871
[, их ]   count:31  textsCount:30  stability:0.0967741935483871
[российский космонавт ]   count:31  textsCount:29  stability:0.0967741935483871
[, отмечаю ]   count:31  textsCount:30  stability:0.06451612903225806
[космический тело ]   count:30  textsCount:20  stability:0.1
[спускаемый аппарат ]   count:30  textsCount:22  stability:0.1
[метр в ]   count:30  textsCount:24  stability:0.06666666666666667
[в океан ]   count:30  textsCount:27  stability:0.1
[в москва ]   count:30  textsCount:28  stability:0.1
[. помимо ]   count:30  textsCount:30  stability:0.06666666666666667
[, включая ]   count:30  textsCount:29  stability:0.03333333333333333
[. более ]   count:30  textsCount:29  stability:0.06666666666666667
[. другой ]   count:30  textsCount:30  stability:0.06666666666666667
[, до ]   count:30  textsCount:30  stability:0.1
[в штат ]   count:30  textsCount:27  stability:0.1
[с цель ]   count:30  textsCount:29  stability:0.1
[, руководитель ]   count:30  textsCount:30  stability:0.03333333333333333
[американский армия ]   count:30  textsCount:19  stability:0.06666666666666667
[по повод ]   count:30  textsCount:28  stability:0.06666666666666667
[и даже ]   count:29  textsCount:29  stability:0.06896551724137931
[. и ]   count:29  textsCount:28  stability:0.034482758620689655
[работа . ]   count:29  textsCount:29  stability:0.06896551724137931
[. хотя ]   count:29  textsCount:29  stability:0.06896551724137931
[на космодром ]   count:28  textsCount:18  stability:0.07142857142857142
[по прежний ]   count:28  textsCount:26  stability:0.07142857142857142
[не имею ]   count:28  textsCount:27  stability:0.03571428571428571
[нет . ]   count:28  textsCount:27  stability:0.07142857142857142
[, либо ]   count:28  textsCount:25  stability:0.07142857142857142
[. эксперт ]   count:28  textsCount:27  stability:0.07142857142857142
[есть в ]   count:28  textsCount:26  stability:0.07142857142857142
[. когда ]   count:28  textsCount:27  stability:0.07142857142857142
[, она ]   count:27  textsCount:27  stability:0.07407407407407407
[. некоторые ]   count:27  textsCount:27  stability:0.037037037037037035
[, ни ]   count:27  textsCount:25  stability:0.07407407407407407
[, среди ]   count:27  textsCount:27  stability:0.07407407407407407
[. открытие ]   count:27  textsCount:24  stability:0.037037037037037035
[с орбита ]   count:27  textsCount:23  stability:0.07407407407407407
[для создание ]   count:27  textsCount:27  stability:0.07407407407407407
[в американский ]   count:27  textsCount:25  stability:0.07407407407407407
[есть находиться ]   count:27  textsCount:27  stability:0.07407407407407407
[никогда не ]   count:26  textsCount:26  stability:0.07692307692307693
[, смог ]   count:26  textsCount:24  stability:0.07692307692307693
[. спутник ]   count:26  textsCount:23  stability:0.038461538461538464
[, пояснил ]   count:25  textsCount:22  stability:0.08
[может привести ]   count:25  textsCount:25  stability:0.08
[. новое ]   count:25  textsCount:25  stability:0.08
[, экипаж ]   count:25  textsCount:21  stability:0.08
[американский космический ]   count:25  textsCount:23  stability:0.08
[. экипаж ]   count:25  textsCount:24  stability:0.08
[, новый ]   count:25  textsCount:25  stability:0.08
[камера , ]   count:25  textsCount:21  stability:0.08
[в среднее ]   count:25  textsCount:23  stability:0.08
[. компания ]   count:25  textsCount:22  stability:0.04
[, скорее ]   count:25  textsCount:25  stability:0.04
[, также ]   count:25  textsCount:24  stability:0.08
[в япония ]   count:25  textsCount:22  stability:0.08
[. космический ]   count:25  textsCount:25  stability:0.08
[, американский ]   count:24  textsCount:23  stability:0.041666666666666664
[на российский ]   count:24  textsCount:22  stability:0.08333333333333333
[группа учёный ]   count:24  textsCount:23  stability:0.08333333333333333
[большой количество ]   count:24  textsCount:23  stability:0.08333333333333333
[на остров ]   count:24  textsCount:18  stability:0.08333333333333333
[. уж ]   count:24  textsCount:24  stability:0.08333333333333333
[на 10 ]   count:24  textsCount:22  stability:0.08333333333333333
[, занимающийся ]   count:24  textsCount:23  stability:0.08333333333333333
[вид . ]   count:24  textsCount:23  stability:0.08333333333333333
[, обнаруженный ]   count:24  textsCount:24  stability:0.08333333333333333
[переговоры с ]   count:24  textsCount:24  stability:0.08333333333333333
[, глава ]   count:24  textsCount:24  stability:0.08333333333333333
[может стать ]   count:23  textsCount:23  stability:0.08695652173913043
[задача . ]   count:23  textsCount:23  stability:0.08695652173913043
[президент сша ]   count:23  textsCount:21  stability:0.08695652173913043
[на граница ]   count:23  textsCount:20  stability:0.08695652173913043
[километр и ]   count:23  textsCount:23  stability:0.08695652173913043
[экспедиция . ]   count:23  textsCount:21  stability:0.08695652173913043
[солнечный парус ]   count:22  textsCount:10  stability:0.09090909090909091
[запуск шаттл ]   count:22  textsCount:18  stability:0.09090909090909091
[градус по ]   count:22  textsCount:18  stability:0.09090909090909091
[. поэтому ]   count:22  textsCount:22  stability:0.045454545454545456
[, другой ]   count:22  textsCount:20  stability:0.045454545454545456
[в северный ]   count:22  textsCount:20  stability:0.09090909090909091
[по вопрос ]   count:22  textsCount:20  stability:0.09090909090909091
[источник энергия ]   count:22  textsCount:19  stability:0.09090909090909091
[, разработанный ]   count:22  textsCount:22  stability:0.09090909090909091
[, вызванный ]   count:22  textsCount:22  stability:0.09090909090909091
[президент россия ]   count:22  textsCount:21  stability:0.09090909090909091
[и один ]   count:22  textsCount:19  stability:0.09090909090909091
[, куда ]   count:22  textsCount:22  stability:0.09090909090909091
[, от ]   count:22  textsCount:22  stability:0.045454545454545456
[. предыдущий ]   count:22  textsCount:22  stability:0.09090909090909091
[. не ]   count:21  textsCount:21  stability:0.047619047619047616
[основан на ]   count:21  textsCount:20  stability:0.09523809523809523
[, подобный ]   count:21  textsCount:21  stability:0.09523809523809523
[на север ]   count:21  textsCount:21  stability:0.047619047619047616
[информация . ]   count:21  textsCount:19  stability:0.047619047619047616
[раз больше ]   count:21  textsCount:19  stability:0.09523809523809523
[. считаюсь ]   count:21  textsCount:21  stability:0.09523809523809523
[поступил в ]   count:21  textsCount:21  stability:0.09523809523809523
[в город ]   count:21  textsCount:18  stability:0.047619047619047616
[, можно ]   count:21  textsCount:21  stability:0.09523809523809523
[не являюсь ]   count:21  textsCount:19  stability:0.047619047619047616
[магнитный поле ]   count:21  textsCount:13  stability:0.09523809523809523
[год с ]   count:21  textsCount:21  stability:0.09523809523809523
[углекислый газ ]   count:21  textsCount:14  stability:0.09523809523809523
[. астроном ]   count:21  textsCount:20  stability:0.09523809523809523
[под руководство ]   count:21  textsCount:21  stability:0.09523809523809523
[понять , ]   count:21  textsCount:20  stability:0.09523809523809523
[корабль и ]   count:21  textsCount:19  stability:0.09523809523809523
[орбитальный телескоп ]   count:21  textsCount:17  stability:0.09523809523809523
[размер с ]   count:21  textsCount:21  stability:0.09523809523809523
[. многие ]   count:21  textsCount:21  stability:0.047619047619047616
[. самый ]   count:21  textsCount:20  stability:0.047619047619047616
[. глава ]   count:21  textsCount:21  stability:0.047619047619047616
[, только ]   count:20  textsCount:20  stability:0.05
[обнаружил в ]   count:20  textsCount:20  stability:0.05
[. каждый ]   count:20  textsCount:19  stability:0.1
[. оба ]   count:20  textsCount:18  stability:0.05
[, кроме ]   count:20  textsCount:20  stability:0.05
[есть использоваться ]   count:20  textsCount:20  stability:0.1
[появился в ]   count:20  textsCount:17  stability:0.1
[астронавт , ]   count:20  textsCount:19  stability:0.1
[2 . ]   count:20  textsCount:19  stability:0.1
[. два ]   count:20  textsCount:20  stability:0.05
[. причём ]   count:20  textsCount:20  stability:0.05
[, названный ]   count:20  textsCount:19  stability:0.1
[из космос ]   count:20  textsCount:16  stability:0.1
[, принадлежащий ]   count:20  textsCount:20  stability:0.05
[университет , ]   count:20  textsCount:19  stability:0.1
[, прежде ]   count:20  textsCount:20  stability:0.05
[есть установлен ]   count:20  textsCount:20  stability:0.1
[представление о ]   count:20  textsCount:20  stability:0.1
[градус . ]   count:20  textsCount:14  stability:0.1
[, специалист ]   count:20  textsCount:19  stability:0.1
[около 10 ]   count:20  textsCount:20  stability:0.1
[, откуда ]   count:20  textsCount:20  stability:0.1
[около 50 ]   count:20  textsCount:17  stability:0.1
[. есть ]   count:20  textsCount:19  stability:0.05
[марсоход opportunity ]   count:20  textsCount:15  stability:0.1
[. первоначально ]   count:20  textsCount:19  stability:0.1
[с просьба ]   count:20  textsCount:19  stability:0.1
[. проблема ]   count:19  textsCount:18  stability:0.05263157894736842
[, рассказал ]   count:19  textsCount:19  stability:0.05263157894736842
[. профессор ]   count:19  textsCount:17  stability:0.05263157894736842
[. известно ]   count:19  textsCount:19  stability:0.05263157894736842
[, первое ]   count:19  textsCount:19  stability:0.05263157894736842
[, имею ]   count:18  textsCount:18  stability:0.05555555555555555
[. то ]   count:18  textsCount:18  stability:0.05555555555555555
[ещё на ]   count:18  textsCount:15  stability:0.05555555555555555
[. возможно ]   count:18  textsCount:18  stability:0.05555555555555555
[, необходимый ]   count:18  textsCount:17  stability:0.05555555555555555
[, уточнил ]   count:18  textsCount:18  stability:0.05555555555555555
[американский солдат ]   count:18  textsCount:15  stability:0.05555555555555555
[, известный ]   count:18  textsCount:18  stability:0.05555555555555555
[, полагаю ]   count:18  textsCount:17  stability:0.05555555555555555
[, сотрудник ]   count:18  textsCount:18  stability:0.05555555555555555
[их в ]   count:17  textsCount:17  stability:0.058823529411764705
[между два ]   count:17  textsCount:16  stability:0.058823529411764705
[государство . ]   count:17  textsCount:15  stability:0.058823529411764705
[. автор ]   count:17  textsCount:17  stability:0.058823529411764705
[. поскольку ]   count:17  textsCount:17  stability:0.058823529411764705
[, даже ]   count:17  textsCount:17  stability:0.058823529411764705
[. подобный ]   count:17  textsCount:17  stability:0.058823529411764705
[. больший ]   count:17  textsCount:17  stability:0.058823529411764705
[, профессор ]   count:17  textsCount:17  stability:0.058823529411764705
[соглашение , ]   count:17  textsCount:16  stability:0.058823529411764705
[отправил в ]   count:17  textsCount:15  stability:0.058823529411764705
[, старт ]   count:16  textsCount:16  stability:0.0625
[результат . ]   count:16  textsCount:16  stability:0.0625
[для решение ]   count:16  textsCount:16  stability:0.0625
[не более ]   count:16  textsCount:16  stability:0.0625
[, потому ]   count:16  textsCount:16  stability:0.0625
[, благодаря ]   count:16  textsCount:16  stability:0.0625
[изображение , ]   count:16  textsCount:13  stability:0.0625
[, показал ]   count:16  textsCount:16  stability:0.0625
[не превышаю ]   count:16  textsCount:16  stability:0.0625
[, особенно ]   count:16  textsCount:16  stability:0.0625
[. прибор ]   count:15  textsCount:14  stability:0.06666666666666667
[, основной ]   count:15  textsCount:15  stability:0.06666666666666667
[, её ]   count:15  textsCount:15  stability:0.06666666666666667
[город . ]   count:15  textsCount:14  stability:0.06666666666666667
[есть открыт ]   count:15  textsCount:15  stability:0.06666666666666667
[, созданный ]   count:15  textsCount:15  stability:0.06666666666666667
[. под ]   count:15  textsCount:15  stability:0.06666666666666667
[на украина ]   count:15  textsCount:13  stability:0.06666666666666667
[. благодаря ]   count:15  textsCount:15  stability:0.06666666666666667
[с этот ]   count:15  textsCount:15  stability:0.06666666666666667
[учёный нашёл ]   count:15  textsCount:13  stability:0.06666666666666667
[в национальный ]   count:15  textsCount:14  stability:0.06666666666666667
[. группа ]   count:15  textsCount:15  stability:0.06666666666666667
[в великобритания ]   count:15  textsCount:13  stability:0.06666666666666667
[, касающийся ]   count:15  textsCount:15  stability:0.06666666666666667
[. система ]   count:14  textsCount:10  stability:0.07142857142857142
[. инженер ]   count:14  textsCount:14  stability:0.07142857142857142
[американский и ]   count:14  textsCount:12  stability:0.07142857142857142
[ещё два ]   count:14  textsCount:13  stability:0.07142857142857142
[в многие ]   count:14  textsCount:14  stability:0.07142857142857142
[ядерный материал ]   count:14  textsCount:6  stability:0.07142857142857142
[. только ]   count:14  textsCount:14  stability:0.07142857142857142
[сведение о ]   count:14  textsCount:13  stability:0.07142857142857142
[, космический ]   count:14  textsCount:13  stability:0.07142857142857142
[только один ]   count:14  textsCount:14  stability:0.07142857142857142
[его в ]   count:14  textsCount:14  stability:0.07142857142857142
[. сотрудник ]   count:14  textsCount:14  stability:0.07142857142857142
[, тем ]   count:14  textsCount:13  stability:0.07142857142857142
[более 200 ]   count:13  textsCount:13  stability:0.07692307692307693
[, получил ]   count:13  textsCount:13  stability:0.07692307692307693
[. одновременно ]   count:13  textsCount:13  stability:0.07692307692307693
[почёл на ]   count:13  textsCount:13  stability:0.07692307692307693
[практически не ]   count:13  textsCount:13  stability:0.07692307692307693
[ввс , ]   count:13  textsCount:12  stability:0.07692307692307693
[у берег ]   count:13  textsCount:12  stability:0.07692307692307693
[. министерство ]   count:13  textsCount:13  stability:0.07692307692307693
[полю . ]   count:13  textsCount:13  stability:0.07692307692307693
[лаборатория , ]   count:13  textsCount:11  stability:0.07692307692307693
[. наш ]   count:13  textsCount:13  stability:0.07692307692307693
[звезд , ]   count:13  textsCount:13  stability:0.07692307692307693
[, аналогичный ]   count:13  textsCount:12  stability:0.07692307692307693
[, астроном ]   count:13  textsCount:11  stability:0.07692307692307693
[. эксперимент ]   count:13  textsCount:12  stability:0.07692307692307693
[. участник ]   count:13  textsCount:12  stability:0.07692307692307693
[коралловый риф ]   count:13  textsCount:7  stability:0.07692307692307693
[. впервые ]   count:13  textsCount:13  stability:0.07692307692307693
[. военный ]   count:13  textsCount:13  stability:0.07692307692307693
[специальный комиссия ]   count:13  textsCount:11  stability:0.07692307692307693
[лишь в ]   count:13  textsCount:13  stability:0.07692307692307693
[. наиболее ]   count:13  textsCount:13  stability:0.07692307692307693
[с борт ]   count:13  textsCount:10  stability:0.07692307692307693
[в сам ]   count:13  textsCount:12  stability:0.07692307692307693
[соединение , ]   count:12  textsCount:12  stability:0.08333333333333333
[на рынок ]   count:12  textsCount:12  stability:0.08333333333333333
[в провинция ]   count:12  textsCount:9  stability:0.08333333333333333
[превратился в ]   count:12  textsCount:11  stability:0.08333333333333333
[. nasa ]   count:12  textsCount:11  stability:0.08333333333333333
